# REQ-019 allowed-combination denominator (identity axes).
# Provenance: OPEN_ORACLE SoloDAoC IsCharacterValid join:
#   class ∈ STARTING_CLASSES_DICT[realm]  (not Enum.IsDefined, not Albion-only, not Cartesian)
#   race ∈ CharacterClassDB.EligibleRaces
#   gender ∈ {0,1} minus RACE_GENDER_CONSTRAINTS_DICT / CLASS_GENDER_CONSTRAINTS_DICT
# Stats/points (30-point progressive cost) are a separate joint axis in charcreate.rs.
# legality=ALLOWED only. Unknown table gaps must be UNESTABLISHED in the classifier, never guessed.
realm_id	realm	class_id	class	base_class_id	base_class	race_id	race	gender_id	gender	career_keys
1	Albion	1	Paladin	14	Fighter	1	Briton	0	Male	FighterCareer|CharacterStyleUserCareer|PaladinCareer
1	Albion	1	Paladin	14	Fighter	1	Briton	1	Female	FighterCareer|CharacterStyleUserCareer|PaladinCareer
1	Albion	1	Paladin	14	Fighter	2	Avalonian	0	Male	FighterCareer|CharacterStyleUserCareer|PaladinCareer
1	Albion	1	Paladin	14	Fighter	2	Avalonian	1	Female	FighterCareer|CharacterStyleUserCareer|PaladinCareer
1	Albion	1	Paladin	14	Fighter	3	Highlander	0	Male	FighterCareer|CharacterStyleUserCareer|PaladinCareer
1	Albion	1	Paladin	14	Fighter	3	Highlander	1	Female	FighterCareer|CharacterStyleUserCareer|PaladinCareer
1	Albion	1	Paladin	14	Fighter	4	Saracen	0	Male	FighterCareer|CharacterStyleUserCareer|PaladinCareer
1	Albion	1	Paladin	14	Fighter	4	Saracen	1	Female	FighterCareer|CharacterStyleUserCareer|PaladinCareer
1	Albion	2	Armsman	14	Fighter	1	Briton	0	Male	FighterCareer|CharacterStyleUserCareer|PureTankCareer|ArmsmanCareer
1	Albion	2	Armsman	14	Fighter	1	Briton	1	Female	FighterCareer|CharacterStyleUserCareer|PureTankCareer|ArmsmanCareer
1	Albion	2	Armsman	14	Fighter	2	Avalonian	0	Male	FighterCareer|CharacterStyleUserCareer|PureTankCareer|ArmsmanCareer
1	Albion	2	Armsman	14	Fighter	2	Avalonian	1	Female	FighterCareer|CharacterStyleUserCareer|PureTankCareer|ArmsmanCareer
1	Albion	2	Armsman	14	Fighter	3	Highlander	0	Male	FighterCareer|CharacterStyleUserCareer|PureTankCareer|ArmsmanCareer
1	Albion	2	Armsman	14	Fighter	3	Highlander	1	Female	FighterCareer|CharacterStyleUserCareer|PureTankCareer|ArmsmanCareer
